0, 0, 0
0, 0, 2
22000, 0, 4
32000, 0, 6
38000, 0, 8
42000, 0, 10
46000, 0, 12
50000, 0, 14
56000, 0, 16
60000, 0, 18
64000, 0, 20
66000, 0, 22
70000, 0, 24
74000, 0, 26
78000, 2, 28
82000, 17, 30
86000, 36, 32
90000, 44, 34
94000, 45, 36
98000, 45, 38
102000, 45, 40
106000, 45, 42
110000, 45, 44
114000, 45, 46
118000, 45, 48
122000, 45, 50
126000, 45, 52
130000, 45, 54
134000, 45, 56
138000, 45, 58
142000, 45, 60
146000, 45, 62
150000, 45, 64
154000, 45, 66
158000, 45, 68
162000, 45, 70
166000, 45, 72
170000, 45, 74
174000, 45, 76
178000, 45, 78
182000, 45, 80
186000, 45, 82
190000, 45, 84
194000, 45, 86
198000, 45, 88
202000, 45, 90
206000, 45, 92
210000, 45, 94
214000, 45, 96
218000, 45, 98
222000, 45, 100
226000, 45, 102
230000, 45, 104
234000, 45, 106
238000, 45, 108
242000, 45, 110
246000, 45, 112
252000, 45, 114
254000, 45, 116
258000, 45, 118
262000, 45, 120
266000, 45, 122
270000, 45, 124
274000, 45, 126
278000, 45, 128
282000, 45, 130
286000, 45, 132
290000, 45, 134
294000, 45, 136
298000, 45, 138
302000, 45, 140
306000, 45, 142
310000, 45, 144
314000, 45, 146
